Edge1-Edge2	KappaScore
R-HSA:212269 (term-term) KEGG:05203	0.5266821345707658
R-HSA:212269 (term-term) R-HSA:110328	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:110329	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:110330	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:110331	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:1214188	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:1221632	0.7034883720930235
R-HSA:212269 (term-term) R-HSA:1474165	0.7034883720930235
R-HSA:212269 (term-term) R-HSA:1500620	0.7034883720930235
R-HSA:212269 (term-term) R-HSA:157579	0.7841269841269842
R-HSA:212269 (term-term) R-HSA:171306	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:176700	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:181450	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:1912408	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:201681	0.44376278118609425
R-HSA:212269 (term-term) R-HSA:201722	0.7841269841269842
R-HSA:212269 (term-term) R-HSA:212165	0.901162790697674
R-HSA:212269 (term-term) R-HSA:212222	1.0
R-HSA:212269 (term-term) R-HSA:212252	0.8811188811188815
R-HSA:212269 (term-term) R-HSA:212263	0.8811188811188815
R-HSA:212300 (term-term) KEGG:05203	0.5266821345707658
R-HSA:212300 (term-term) R-HSA:110328	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:110329	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:110330	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:110331	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:1214188	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:1221632	0.7034883720930235
R-HSA:212300 (term-term) R-HSA:1474165	0.7034883720930235
R-HSA:212300 (term-term) R-HSA:1500620	0.7034883720930235
R-HSA:212300 (term-term) R-HSA:157579	0.7841269841269842
R-HSA:212300 (term-term) R-HSA:171306	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:176700	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:181450	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:1912408	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:201681	0.44376278118609425
R-HSA:212300 (term-term) R-HSA:201722	0.7841269841269842
R-HSA:212300 (term-term) R-HSA:212165	0.901162790697674
R-HSA:212300 (term-term) R-HSA:212222	1.0
R-HSA:212300 (term-term) R-HSA:212252	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:212263	0.8811188811188815
R-HSA:212300 (term-term) R-HSA:212269	1.0
R-HSA:212300 (term-term-ontology) R-HSA:212165	2.0
R-HSA:2130282 (term-term) R-HSA:195253	0.8495575221238933
R-HSA:2130282 (term-term) R-HSA:202424	0.5486725663716818
R-HSA:2172127 (term-term) KEGG:04612	0.5486725663716818
R-HSA:2172127 (term-term) KEGG:05332	0.6512820512820521
R-HSA:2172678 (term-term) KEGG:05203	0.5812807881773403
R-HSA:2172678 (term-term) R-HSA:110328	1.0
R-HSA:2172678 (term-term) R-HSA:110329	1.0
R-HSA:2172678 (term-term) R-HSA:110330	1.0
R-HSA:2172678 (term-term) R-HSA:110331	1.0
R-HSA:2172678 (term-term) R-HSA:1214188	1.0
R-HSA:2172678 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:2172678 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:2172678 (term-term) R-HSA:1500620	0.7848101265822786
