Gene ID	1442plasma	1874plasma	3399plasma	3701plasma	4353plasma	4370plasma	4395plasma	4894plasma	BALL10	HD1	HD2	HD3	HD4	HD5	HD6						
CAD	1.620374888	4.434728995	4.688086454	2.722193079	2.691619887	4.225032147	6.211775606	2.53496146	2.939108939	2.949860645	1.112257964	1.339795923	1.665824375	0.898240102	2.310230736						
TUBB	3.447327066	3.596672696	5.683419241	3.998636746	4.533909924	5.969816547	2.842502961	3.852864552	2.61205914	1.840014165	1.932634412	2.646284127	2.076327567	2.956930553	1.524238338						
MYL12B	5.027565675	0.200724908	2.231559908	2.123584376	2.123872921	3.769683364	0.796035304	1.529272135	2.622162661	1.063262007	0.504519798	0.695739986	0.634748508	1.746327967	0.961882781						
MIR193A	8.293473913	10.59762452	12.49065704	8.714256857	7.857567206	11.75661304	11.28169813	7.29447978	8.44119776	6.909265034	7.525234591	9.461092694	7.41842775	7.58140409	6.454157648						
PRR29-AS1	5.776908671	3.276387497	7.413971578	4.919004369	3.834977703	8.793840247	3.063878302	1.39598004	4.271282025	2.0234421	3.155013023	3.155996621	3.319874503	2.742933329	1.362612137						
NUF2	5.25120079	1.7353954	2.642467557	1.091531	3.084098706	0.609012926	2.214746062	1.301497772	3.838182162	1.150040224	1.241623094	1.546562012	0.716558999	1.600560279	0.632765496						
H4C2	5.959681322	1.38926237	5.190742951	4.169403083	5.75076647	7.181103156	6.08065586	3.353597688	3.441695679	2.706715326	3.921753855	2.927292105	3.239468159	2.957638746	1.660721236						
ANP32E	1.151759264	3.876519826	1.409643705	3.618875179	3.214663328	4.105043677	3.43524564	1.387258822	1.445808115	1.248844333	2.018712162	1.624238971	0.850093911	0.577556675	0.43246686						
NBPF10	5.970590977	4.754839621	5.085201083	4.561627789	4.931089609	4.455399477	6.851231621	1.269783621	3.921589672	2.894941334	3.016169546	3.422226341	2.597207019	2.801785044	2.321068741						
TMBIM6	2.1170764	2.566379212	5.890339299	3.545569375	2.340510097	1.821204225	3.421571347	0.725395556	3.372912879	2.740284734	0.790080667	1.004098657	1.181437967	1.112669148	1.265424386						
NBPF19	6.222978837	4.49634009	4.799896699	4.424362041	4.229663465	2.048176026	6.637690728	1.817231869	3.206783027	2.933653653	2.87932833	2.757093938	2.574520859	2.298049815	2.44729707						
NBPF14	5.871550289	4.67375779	4.943161964	4.183828676	4.447416989	2.93291738	6.852093173	1.676338603	4.012843609	2.33793228	3.398731411	3.335883278	2.37036319	2.112292327	2.339797955						
LOC124905415	3.077286964	4.027024891	6.737789535	3.242338638	3.067155243	5.036587657	4.505410662	2.435347941	3.759945373	2.399939566	1.339461572	3.687692606	2.022112879	2.15048592	1.021285403						
ZNF853	6.951895631	5.734909729	9.185162911	5.844928346	4.792197111	9.391867467	4.622838233	3.993248938	4.593691783	5.023895749	5.210228015	5.154154336	4.836564743	4.937240037	4.845416145						
LINC02941	6.356277045	5.427262364	8.836595905	5.388612341	4.607778918	9.032412749	3.967203264	3.830354228	5.020642735	4.454993541	4.658321569	4.530828216	4.852657398	4.769210818	4.711387583						
H1-10	3.351203392	2.394493988	3.247845241	1.080965907	1.334716579	4.904206958	2.812678555	0.5942035	1.841964576	0.543700584	0.600746954	0.788570502	1.27560224	1.798704352	1.224936749						
H4C5	5.191814154	2.550916712	6.623270697	4.431644025	5.765430876	7.761418644	3.992043975	3.865604932	5.142419139	3.711589443	3.343363057	4.064616402	2.861910078	3.74992561	2.123353358						
RPL41	1.647664498	0.933034685	2.366000528	2.358364408	2.39885611	3.873153683	0.653496048	1.398250111	1.808390751	0.380360663	1.031377307	0.573521041	1.289802308	0.288606655	0.396028301						
CCDC66	6.233539632	2.76080249	3.633285921	2.251557124	2.889474844	3.169752952	5.156243546	2.982056775	3.94120511	2.326496391	1.792920151	1.477915116	1.95576299	2.607157919	2.302814556						
STRAP	2.403612999	1.118323367	2.240638929	3.096551114	3.109622733	3.996854702	3.324899409	0.921910138	1.010551901	1.154391921	1.628725672	0.812632283	0.770590673	1.3201091	0.366909248						
SARNP	6.964331997	5.130583694	2.366092242	2.336391144	1.935298911	4.801009401	3.952767928	3.341241834	3.936224881	3.348947334	1.884273646	2.621909015	2.756035194	2.16132546	1.658093047						
DCUN1D5	3.468107261	2.301039904	1.908926982	0.933480568	1.938279619	1.951161344	0.69620576	0.794119373	2.929642838	0.979920498	0.505215284	1.310432266	0.914247599	0.405079428	0.509228953						
ZC3H14	5.770194704	2.835888382	3.605093078	2.119164869	1.097568595	0.749765206	1.067958528	3.617535901	2.899074738	1.273312593	1.778666128	0.956810644	1.59551352	1.438240324	1.881090673						
JUP	6.788487893	4.237262933	7.444188495	4.83220661	4.180542169	7.445187379	3.607548847	3.244427573	4.198418446	4.609804705	3.383943659	3.124204204	3.690149633	3.635788749	2.452567865						
LINC02237	4.457970427	3.723163758	3.888346767	2.961140946	2.153036102	5.716388364	4.426304803	3.231266042	3.638304612	1.265560374	1.329740022	2.559915278	2.006638382	2.63766298	2.295278866						
RNVU1-19	5.98220978	4.793446674	8.291663068	4.426789892	3.266337693	8.116948586	7.018274109	2.591931996	5.184900111	4.815596768	3.972034706	4.791858964	3.970921699	4.457559965	3.271514427						
