,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0000317,101.9259567,0.581396958,0.786378097,0.739335137,0.459703518,0.679729553
FBgn0000318,1482.501444,-0.010015934,0.431061058,-0.023235534,0.981462394,0.992945084
FBgn0000319,8234.191871,-0.715146518,0.330021391,-2.166970191,0.030237127,0.116162862
FBgn0000320,6.243346658,-0.198474718,0.896582999,-0.221367925,0.824805965,NA
FBgn0000326,991.0212245,-0.642805415,0.272282328,-2.360804756,0.018235328,0.07984139
FBgn0000330,1096.655353,0.61536012,0.255854788,2.405114737,0.016167389,0.072789795
FBgn0000337,2.810047746,0.295120873,0.652424333,0.452344982,0.651020476,NA
FBgn0000339,3524.707882,0.405526464,0.348944311,1.162152387,0.245173571,0.473352652
FBgn0000346,26538.60689,0.274640618,0.313315183,0.876563387,0.380723833,0.609674326
FBgn0000351,12.53737824,-1.006805398,0.897674519,-1.121570655,0.262045035,0.492606009
FBgn0000352,1577.546516,0.005651051,0.345519863,0.016355213,0.98695101,0.994964186
FBgn0000355,13.25081574,0.6005074,0.886641913,0.677282894,NA,NA
FBgn0000356,0.489623742,-0.236185892,0.628365721,-0.375873292,0.707011097,NA
FBgn0000357,34.58233282,-1.08291095,0.831989266,-1.301592453,0.193055741,0.410211684
FBgn0000358,1.843400353,0.044105389,0.642341907,0.068663415,NA,NA
FBgn0000359,22.42123501,0.014165455,0.712080519,0.019893053,NA,NA
FBgn0000360,16.63616742,-0.500736481,0.862149632,-0.580799971,NA,NA
FBgn0000370,16406.12289,0.859117363,0.204827831,4.194339006,2.74E-05,0.000338503
FBgn0000376,927.5207257,-0.435369976,0.461625763,-0.94312322,0.34561788,0.578678298
FBgn0000377,1019.205081,-0.457340233,0.340135993,-1.344580527,0.178760735,0.39143064
FBgn0000382,14820.25505,0.11166283,0.210719598,0.529911933,0.596172992,0.778053554
FBgn0000384,1909.748418,0.700727913,0.192797911,3.63452026,0.000278498,0.00253979
FBgn0000392,0,NA,NA,NA,NA,NA
FBgn0000394,12.80592215,0.738552306,0.838507517,0.880793901,0.378429382,0.60760752
FBgn0000395,324.2138247,1.219249414,0.576802226,2.11380844,0.034531632,0.127208005
FBgn0000404,141.3431551,0.806445745,0.679221312,1.187309249,0.235105661,0.461024161
FBgn0000405,31.00251978,-0.599662729,0.896363846,-0.668994774,0.503498812,0.715222351
FBgn0000406,0.730162632,-0.863259792,0.632765445,-1.364265068,NA,NA
FBgn0000409,46246.41684,0.47107598,0.367513855,1.281791076,0.199915946,0.419632842
FBgn0000411,258.4784089,-2.974562518,0.735082064,-4.046572028,5.20E-05,0.000598525
FBgn0000412,5573.608342,-0.291605998,0.290106278,-1.005169555,0.314815212,0.549069932
FBgn0000413,6087.101477,-0.066820243,0.28536099,-0.234160398,0.814860459,0.91246659
FBgn0000414,8954.685481,-0.281931913,0.257717762,-1.093956078,0.273974242,0.505320993
FBgn0000416,8528.08646,-0.44188291,0.333568633,-1.324713619,0.185266155,0.399842833
FBgn0000422,8282.142411,-5.826901271,0.514762325,-11.31959545,1.05E-29,7.53E-28
FBgn0000426,394.8437812,0.684558957,0.483108919,1.416986791,0.156486789,0.359652244
FBgn0000427,2.246305414,-0.353407501,0.695511335,-0.508126156,NA,NA
FBgn0000439,0.730162632,-0.863259792,0.632765445,-1.364265068,NA,NA
FBgn0000442,13.35037218,1.795994711,0.894602683,2.00758923,0.04468696,0.152930462
FBgn0000447,1510.544845,-0.050739579,0.238623893,-0.212634107,0.831612366,0.919635278
FBgn0000448,1977.587494,0.596870309,0.355337878,1.679726102,0.093010619,0.253459939
FBgn0000449,0,NA,NA,NA,NA,NA
FBgn0000451,5.164084107,1.628916039,0.873565005,1.864676388,0.062226778,NA
FBgn0000454,381.984746,-0.354432715,0.486945563,-0.727869277,0.466693612,0.685876727
FBgn0000455,1106.550894,-0.227945348,0.355024586,-0.642055106,0.520837404,0.725755262
FBgn0000459,66.09049364,1.451415556,0.789123259,1.839276107,0.065874585,0.199748078
FBgn0000463,23.95724869,-0.934663464,0.868140618,-1.07662681,0.281647022,0.51370083
FBgn0000464,21736.2864,-1.15891395,0.289280148,-4.006199384,6.17E-05,0.000694076
FBgn0000473,33.31288773,-4.490162939,0.819677925,-5.477960065,4.30E-08,9.22E-07
FBgn0000477,5.932309426,0.322644784,0.751419726,0.429380242,0.66764653,NA
FBgn0000479,20820.46069,0.025601065,0.227731849,0.112417586,0.910492312,0.95888871
FBgn0000482,840.2175581,-0.570859482,0.523734621,-1.089978509,0.275722611,0.507413569
FBgn0000489,29764.04255,-9.029167234,0.462579491,-19.51916893,7.55E-85,2.92E-82
FBgn0000490,2.518008818,-0.280949106,0.656267291,-0.428101644,NA,NA
FBgn0000492,3.810205751,-0.41762156,0.653498184,-0.639055426,0.522786876,NA
FBgn0000497,10.68297925,-0.301266594,0.861068482,-0.349875301,0.726432284,0.865161912
FBgn0000499,1972.779076,-0.047931107,0.323828504,-0.14801386,0.88233183,0.944399345
FBgn0000500,0,NA,NA,NA,NA,NA
FBgn0000504,10.59933614,-0.308870395,0.8413532,-0.367111452,0.713535886,0.856756143
